structure_id,x,y,z,reference_space_id
1084,9330,3600,2940,10
877,10590,5610,5450,10
574,9340,6080,5180,10
667,2090,2740,4530,10
143,12140,6690,4370,10
811,10410,2330,4420,10
579,7130,4530,1800,10
375,7910,3340,2990,10
72,5050,5570,5400,10
182305705,5920,1850,2990,10
382,7980,2880,2650,10
968,11940,4290,5020,10
1061,8170,2570,4810,10
355,6720,4880,1880,10
571,6120,4460,5490,10
603,6380,3200,3870,10
607,10880,5450,3100,10
757,9920,4450,5380,10
556,3440,3750,5520,10
202,11260,4830,4780,10
965,8190,570,4360,10
15,5840,4490,5370,10
565,8390,840,4040,10
444,6750,4180,5280,10
349,6650,6550,4350,10
904,4670,5980,5480,10
1104,6090,4590,4870,10
312782554,7210,700,3630,10
437,12110,5880,3750,10
335,8670,4260,1360,10
467,7190,6080,5250,10
688,5640,2930,2720,10
271,9470,3750,3790,10
607344834,8460,5360,5600,10
783,3830,4130,3190,10
901,10780,6060,3440,10
701,11330,4790,4540,10
313,9160,3270,4730,10
470,7310,5380,4010,10
147,10720,4280,4730,10
810,4910,2480,5070,10
549009215,10060,5330,4350,10
669,8990,1460,2850,10
106,11220,5500,4250,10
954,7960,2990,1580,10
427,8070,4260,930,10
820,10430,1860,4910,10
927,5000,2260,4820,10
964,6920,5380,1690,10
8,7400,3970,3730,10
544,6600,5670,2760,10
653,10770,5220,5290,10
425,10000,2200,2440,10
978,11610,6870,4540,10
66,8260,4440,3310,10
1048,11350,6150,5280,10
1046,7690,1070,4130,10
12,8620,4980,5590,10
830,7050,6190,5350,10
246,9010,4570,4540,10
812,9410,4500,5620,10
1099,7220,2770,3770,10
540,8140,4560,800,10
123,10370,4730,3670,10
737,5920,5360,5130,10
818,6230,4870,3480,10
998,5400,6010,3410,10
753,7710,5690,5270,10
249,8390,2500,1760,10
549,7010,4020,4430,10
917,12690,5260,5140,10
749,8310,5150,4950,10
1096,6090,4430,5070,10
105,9980,6740,4660,10
665,3360,5890,3590,10
576073699,5410,6810,5300,10
1113,6160,4220,5170,10
421,9210,1590,1900,10
628,8130,2410,4610,10
101,10640,5730,3030,10
703,6710,5830,2570,10
51,7190,4080,4900,10
1077,6550,5280,5250,10
255,6040,3870,4640,10
312782566,7320,1200,3790,10
222,11960,6540,5680,10
153,11740,5070,3410,10
118,6810,6300,5630,10
706,7910,2600,4980,10
791,8400,2380,1580,10
607344854,8820,5120,5570,10
312782582,9110,2010,1650,10
656,3260,1620,4370,10
898,10610,4390,5290,10
806,6060,3230,1290,10
696,8450,2110,1190,10
759,8440,2300,1410,10
681,8750,4520,5500,10
900,3510,5260,4530,10
746,2760,3620,4910,10
778,8990,1330,3190,10
1072,8490,3540,3330,10
1086,6710,960,3780,10
741,7370,4650,5040,10
351,5360,5180,4790,10
325,8380,3430,3630,10
527696977,3490,3520,4720,10
549009223,9960,5870,4000,10
642,9900,6760,5040,10
182305709,6010,2130,3130,10
461,6880,1430,4010,10
795,9320,3130,5300,10
370,11640,5970,4750,10
451,7170,6610,2420,10
774,7990,850,4430,10
620,2880,3520,5250,10
484682512,5860,2530,3200,10
1060,8890,4280,5610,10
115,9590,3780,5440,10
95,4290,4670,2530,10
27,7730,3710,3130,10
1033,12380,4190,3770,10
390,5880,6740,4510,10
916,8220,2820,3780,10
950,4590,2940,2230,10
358,10640,4730,4960,10
1002,7930,2820,1180,10
557,7540,6670,4880,10
502,9100,3050,2820,10
560581559,6480,5240,5650,10
980,7660,6220,5280,10
218,7480,3110,4150,10
312782562,7270,1000,3750,10
214,8680,4350,4920,10
484682528,6520,5990,3290,10
856,6880,3900,4620,10
800,3750,4790,3120,10
368,8790,4190,1390,10
633,10200,2000,5430,10
337,5970,1230,3930,10
182305697,5760,1460,2760,10
393,9610,2410,2460,10
549009203,7940,3660,5130,10
662,4890,4410,2390,10
834,9100,1240,4960,10
606826655,8300,6210,5590,10
10703,8190,3110,3370,10
506,11340,4590,4210,10
484682508,9750,2300,3360,10
878,4390,2750,1920,10
477,5230,4840,3730,10
933,9660,4890,3920,10
559,6550,5740,3210,10
10671,7180,7290,5580,10
177,12380,5810,5370,10
744,11460,3690,5410,10
888,8170,4540,1010,10
847,7940,2890,1320,10
190,11070,7200,5330,10
533,8390,710,4000,10
534,10070,4860,4140,10
857,6400,4440,1660,10
52,8870,4900,1240,10
442,8230,280,4960,10
10,8990,2170,4640,10
181,6310,5120,5490,10
187,4680,4460,2020,10
336,8430,2660,5550,10
452,5140,5440,5660,10
1085,4330,2660,4360,10
493,4360,6310,4270,10
827,3470,3680,5320,10
606826659,8190,5880,5530,10
31,4610,2170,5310,10
20,9000,4890,1090,10
792,8970,5610,5000,10
1020,7190,3850,4310,10
985,4300,2360,3530,10
607344846,8690,5580,5360,10
850,10860,4000,4290,10
1120,6280,4550,5530,10
523,5260,6190,5140,10
842,9220,1470,4970,10
252,7570,2520,1610,10
873,5980,3190,1090,10
312782628,9570,2730,1560,10
312782644,9500,2770,1660,10
450,5250,1260,3030,10
920,10970,3000,5060,10
30,6010,6410,5640,10
591,9090,4450,5600,10
678,7540,2390,1450,10
707,3440,3750,5630,10
694,3660,5020,2850,10
879,8020,800,4820,10
924,8360,5570,3960,10
312782632,9760,2640,1350,10
711,12780,5150,4870,10
949,2030,3650,5490,10
35,9100,3800,5520,10
363,3120,2790,5210,10
604,10550,4820,5490,10
606826651,7970,6190,5390,10
816,7930,2790,1110,10
488,3610,3850,4260,10
148,4620,4460,1830,10
866,10700,6870,3770,10
526322264,3440,3150,4380,10
397,8600,4740,5600,10
536,6600,5660,3040,10
1092,6550,4260,3520,10
6,6640,4690,3520,10
254,7950,990,4880,10
182305701,5820,1680,2870,10
922,8230,4500,1030,10
997,7430,3990,3760,10
151,1920,3660,4550,10
851,9080,1660,4990,10
182305713,6190,2240,3270,10
453,5840,2410,2400,10
685,6830,4990,4770,10
772,4830,2500,5300,10
631,7510,6850,2890,10
988,7990,4320,1200,10
993,3610,2110,4370,10
1008,7940,3520,3420,10
386,11910,5670,3910,10
846,11180,4260,3180,10
639,6350,7100,3190,10
312782594,8960,2350,2020,10
670,6610,750,3840,10
84,3460,2960,4870,10
894,8130,820,4400,10
281,7650,370,3970,10
1056,11480,2760,2730,10
822,9240,4100,2190,10
616,10110,3420,4340,10
802,5940,3930,5100,10
496345672,7600,3120,3510,10
942,6060,5680,2380,10
135,11890,6620,4330,10
491,8050,6120,5360,10
154,11620,5160,5450,10
463,7840,3580,2830,10
38,6070,5660,5530,10
786,8370,3620,1380,10
675,4110,4930,3010,10
695,5620,2880,2780,10
122,9760,6850,4500,10
902,9910,2250,2470,10
771,9870,5540,4640,10
862,6160,3520,1920,10
893,6330,3490,2050,10
957,12660,4290,5100,10
430,7730,1240,5490,10
946,7450,5580,5390,10
73,7790,3740,5680,10
319,7000,6380,2860,10
312782640,9440,2560,1540,10
507,1370,4390,4820,10
163,5890,5150,1400,10
961,5620,6050,2330,10
312782570,7350,1290,3800,10
1015,4380,1960,5230,10
226,5410,6210,4640,10
312782648,9360,2870,1820,10
991,6960,2760,4060,10
630,3040,3840,4140,10
441,7710,1170,4140,10
886,7790,1260,5200,10
595,7540,4040,5300,10
312782574,9050,2140,1790,10
814,3640,4290,5330,10
356,7050,5720,4350,10
621,10200,5290,4090,10
575,6880,3600,4830,10
436,5930,5370,5120,10
542,7810,1280,5610,10
880,10420,4160,5490,10
984,11070,2800,4980,10
395,12740,6340,4830,10
732,7920,6160,5610,10
987,9920,5680,4920,10
581,5530,3710,5430,10
